Ref,Val,Package,PosX,PosY,Rot,Side
SW_RST,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,12.000000,-6.000000,0.000000,top
U1,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1,6.750000,-30.000000,90.000000,top
U_ADC,ADS1115IDGSR,TSSOP-10_3x3mm_P0.5mm,70.000000,-48.000000,0.000000,top
U_AMP,MAX98357AETE+T,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,54.000000,-50.000000,0.000000,top
U_BUCK,SY8089AAAC,SOT-23-5,37.000000,-9.000000,0.000000,top
U_IMU,MPU-6050,InvenSense_QFN-24_4x4mm_P0.5mm,46.000000,-30.000000,0.000000,top
U_LDO15,ME6211C15M5G-N,SOT-23-5,52.000000,-56.000000,0.000000,top
U_LDO28,ME6211C28M5G-N,SOT-23-5,26.000000,-53.000000,0.000000,top
U_MIC,INMP441,InvenSense_INMP441_LGA-9_4.72x3.76mm,14.000000,-50.000000,0.000000,top
U_PWM,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,62.000000,-25.600000,0.000000,top
U_TOUCH,MPR121QR2,UQFN-20_3x3mm_P0.4mm,30.000000,-46.000000,0.000000,top
